###########################################################################
#Copyright 1999 The Internet Dictionary Project/Tyler Chambers
#http://www.june29.com/IDP/
#This file is free to use and modify.  Thank you for using the IDP.
#
#Approximately 5048 entries.  9/21/97
#Approximately 5488 entries.  1/7/98
#Approximately 5910 entries.  3/8/98
#Approximately 7450 entries.  2/19/99
###########################################################################
a	un, uno, una[Article]
sadistic	sadistico[Adjective]
sadists	sadisti[Noun]
sadly	tristemente[Adjective]
sadness	tristezza[Noun]
sadomasochism	sadomasochismo[Noun]
sadomasochist	sadomasochista[Noun]
sadomasochistic	sadomasochistico[Adjective]
safari	safari[Noun]
safe	sicuro[Adjective]
safeguard	salvaguardia[Noun]
safeguarded	salvaguardato[Verb]
safeguards	protezioni, salvaguardie[Noun]
safer	più sicuro[Noun]
safest	il più sicuro[Noun]
safety	sicurezza
saffron	zafferano[Noun]
saga	saga[Noun]
sagacious	sagace[Adjective]
sagacity	sagacia[Adjective]
sage	saggina[Noun]
sagebrush	scopa di saggina[Noun]
sail	navigare (a vela)[Verb]
sailboat	veliero[Noun]
sailboater	velista[Noun]
sailboats	barche a vela[Noun]
sailer	navigatore (a vela)[Noun]
sailor	marinaio[Noun]
sailors	marinai[Noun]
saint	santo[Noun]
saintdom	santita'[Noun]
saints	santi[Noun]
salad	insalata[Noun]
salads	insalate[Noun]
salamander	salamandra[Noun]
sale	vendere[Verb]
saleable	vendibile[Adjective]
salesclerk	commesso[Noun]
salesgirl	commessa[Noun]
saleslady	commessa[Noun]
salesman	commesso[Noun]
salesmen	commessi[Noun]
salespeople	commessi[Noun]
salesperson	commessi[Noun]
saleswoman	commessa[Noun]
saleswomen	commessa[Noun]
salinity	salinita'[Noun]
salinize	salinizzare[Verb]
saliva	saliva
salivation	salivazione[Noun]
salmon	salmone[Noun]
salmonella	salmonella[Noun]
salmonellosis	salmonellosi[Noun]
salmons	salmoni[Noun]
salt	sale
sand	sabbia
satisfied	sodisfatto
sauce	salsa
scallion	scalogno[Noun]
scallop	conchiglia[Noun]
scalloped	dentellato[Adjective]
scallopini	scallopini[Noun]
scallops	conchiglie[Noun]
scalpel	scapello[Noun]
scalper	bagarino[Verb]
scaly	squamoso[Adjective]
scamp	briccone[Noun]
scamper	sgambettare[Verb]
scampered	sgambettato[Verb]
scampering	sgambettando[Verb]
scampers	sgambetta[Verb]
scampi	scampi (shrimp)[Noun]
scampini	scampini (small shrimp)[Noun]
scan	scrutare[Verb]
scandal	scandalo[Noun]
scandalize	scandalizzare[Verb]
scandalized	scandalizzato[Adjective]
scandalizes	scandalizza[Verb]
scandalous	scandaloso[Adjective]
scandalously	scandalosamente[Adverb]
scandals	scandoli[Noun]
scannable	scrutabile[Adjective]
scanned	scrutato[Verb]
scanner	scrutore[Noun]
scanners	scrutori[Noun]
scanning	scruta[Verb]
scattering	dispersione[Noun]
scattering	diffusione[Noun]
school	school[Noun]
screed	massetto
screen	coprire[Verb]
screen	riparare[Verb]
screen	schermo
screen	schermo[Noun]
screw	vite
screwed	avvitato[Verb]
screwer	cacciavite
scrimp	scampo
sculptor	scultore[Noun]
sea	mare[Noun]
section	sezione[Noun]
seduce	sedurre[Verb]
seduced	sedotto[Adjective]
seducer	seduttore
seduction	seduzione[Noun]
seductive	seduttivo[Adjective]
see	vedere[Verb]
seed	seme[Noun]
send	spedire[Verb]
sender	chi spedisce[Noun]
sensation	sensazione[Noun]
settings	impostazioni[Noun]
seven	sette[Noun]
seventeen	diciassette[Noun]
seventeenth	diciassettesimo[Adjective]
seventh	settimo
seventies	anni settanta
sex	sesso
sexist	sessista
sexual	sessuali
sexuality	sessuality
sexually	sessualamente
shabbiness	transandatezza
shabby	scialbo
shack	catapecchia
sheep	pecora[Noun]
sheepish	timido[Adjective]
sheer	chiaro[Adjective]
sheer	puro[Adjective]
sheet	foglio
sheet	lenzuolo[Noun]
shelf	scaffale[Noun]
shellfish	crostaceo[Noun]
shelter	ricovero[Noun]
shift	cambio[Noun]
shilling	scellino[Noun]
shine	brillare [something shines]
shine	pulire [shine something]
ship	nave (f)
shipping	spedizione[Adverb]
ships	navi[Noun]
shipshape	in perfetto ordine[Adjective]
shipwreck	relitto, naufragio[Noun]
shipyard	cantiere navale[Noun]
shire	contea (british)[Noun]
shirk	evitare, sottrarsi a[Verb]
shirt	camicia[Noun]
shirts	camicie[Noun]
shit	merda[Noun]
shiver	brivido, rabbrividire, tremare[Noun]
shock	colpo, urto[Noun]
shockproof	a prova di urto[Adjective]
shoe	scarpa[Noun]
shoelace	stringa[Noun]
shoes	scarpe[Noun]
shoot	sparare[Verb]
shoot	sparo[Noun]
shop	negozio[Noun]
shot	foto (phot)[Noun]
shot	sparo[Noun]
shot	tiro (football)[Noun]
shower	acquazzone,pioggia (di sassi ad es.), doccia
showing	proiezione (di un film)
shrug	scrollata di spalle
shrunk	ristretto,ridotto[Verb]
shudder	brivido
shuffle	mescolare[Verb]
shun	evitare[Verb]
shunt	deviare, smistare, spostare[Verb]
shunted	deviato[Verb]
shut	chiudere[Verb]
shutdowns	chiudere definitivamente[Verb]
skull	cranio[Noun]
slave	schiavo[Noun]
slavery	schiavitu[Noun]
slaves	schiavi[Noun]
smuggle	contrabbandare[Verb]
smuggled	di contrabbando, contrabbandato[Adjective]
smuggler	contrabbandiere[Noun]
smuggling	contrabbando[Noun]
smutty	osceno, indecente[Adjective]
snack	spuntino[Noun]
snag	intoppo, ostacolo imprevisto[Noun]
snail	chiocciola[Noun]
snaillike	a chiocciola (ad es.: scala a chiocciola)
snake	serpente[Noun]
snap	schianto,colpo secco, (fotografia):istantanea
soap	sapone[Noun]
soldier	soldato[Noun]
son	figlio[Noun]
song	canzone[Noun]
speak	parlare[Verb]
special	speciale[Adjective]
specialist	specialista
specialistic	specialistico
specialists	specialisti
specialization	specializzazione
specialize	specializzare[Verb]
specialized	Specializzato
specializer	specializzatore
specializers	specializzatori
specializing	specializzando
specially	specialmente
specials	speciali
specialties	specialità
specialty	specialità
specifically	specificatamente
specification	specificazione
specifications	specificazioni
spine	spina dorsale[Noun]
splenectomy	splenectomia
splenomegaly	splenomegalia
sprawl	stravaccarsi, sdraiarsi scompostamente[Verb]
sprawled	stravaccato[Verb]
sprawling	che si stravacca[Verb]
spray	spruzzare[Verb]
spread	spargere, diffondere, distribuire
spring	saltare,primavera (noun)[Verb]
star	stella[Noun]
straw	paglia[Noun]
strawberries	fragole[Noun]
strawberry	fragola[Noun]
stream	ruscello[Noun]
streaming	che scorre
street	strada[Noun]
streets	strade[Noun]
strength	forza[Noun]
strengthen	rinforzare, rafforzare[Verb]
strengthened	rinforzato[Adjective]
strenuous	strenuo[Adjective]
strenuously	strenuamente[Adverb]
streptococcus	streptococco[Noun]
streptokinase	streptochinasi[Noun]
streptolysin	streptolisina[Noun]
streptomycin	streptomicina[Noun]
stress	tensione[Noun]
stressed	teso[Adjective]
structure	struttura[Noun]
sugar	zucchero
sun	sole[Noun]
sunbathe	prendere il sole[Verb]
sunbeam	raggio di sole[Noun]
sunglasses	occhiali da sole[Noun]
sunlight	luce del sole[Noun]
sunrise	alba[Noun]
surgery	chirurgia[Noun]
surgical	chirurgico[Adjective]
surgically	chirurgicamente[Adverb]
swamp	palude[Noun]
sweet	dolce[Adjective]
sweetbread	animella[Noun]
sweeten	inzuccherare[Verb]
sweetheart	carino(masc); carina(fem)[Noun]
sweetness	dolcezza; fragranza(as in smell)[Noun]
swell	gonfiarsi(verb); onda di fondo(noun - as a swell in the sea)
swelling	gonfiezza[Noun]
swerve	deviare; slittare(as in skid)[Verb]
swift	presto; veloce[Adjective]
swiftly	velocemente[Adverb]
swig	sorsata
swill	risciacquare[Verb]
swim	nuotare[Verb]
swimsuit	costume da bagno
swindle	truffa
swindler	scroccone[Noun]
swine	porco
swing	altalena, oscillazione, ritmo,oscillare, dondolare[Verb]
swingeing	violento, enorme[Adjective]
swipe	colpire con forza, schiaffeggiare; sgraffignare[Verb]
swirl	turbinare[Verb]
switch	frustino(riding switch); interruttore(electrical switch)[Noun]
swivel	perno[Noun]
swoon	svenire[Verb]
swoop	piombare dall'alto(swoop down)[Verb]
sword	spada[Noun]
sworn	giurato[Adjective]
syllable	sillaba[Noun]
syllabus	compendio[Noun]
symbol	simbalo[Noun]
system	sistema[Noun]
systematically	sistematicamente[Adverb]
systolic	sistolico
tab	etichetta
tab	tabulazione
tabac	tabacco
tabernacle	tabernacolo
tabernacles	tabernacoli[Noun]
tablature	tavolatura
table	tavola
table	tavolo
tablecloth	tovaglia[Noun]
tablecloths	tovaglie[Noun]
tables	tavoli
tablespoon	cucchiaio da tavola
tablespoonful	cucchiaiata[Noun]
tablespoons	cucchiai da tavola
tablespoonsful	cucchiaiate[Noun]
tabloid	giornale popolare
taboo	tabú
taboo	vietato
taboos	tabu\
tabor	tamburello
tabu	tabu\
tabula	tabula
tabular	tabulare[Adjective]
tabulator	tabulatore
tabulators	tabulatori
tachycardia	tachicardia
tachymeter	tachimetro
tacit	tacito
taciturn	taciturna
taciturn	taciturno
take	prendere[Verb]
takeoff	atterrare[Verb]
tale	racconto, favola[Noun]
talk	conversare, parlare[Verb]
talkative	loquace[Adjective]
tall	alto[Adjective]
tap	(n) spina (in a keg); rubinetto (faucet); presa (elect.); (v) battere, picchiare; spillare (from a barrel); intercettare (a phone); tip tap (to tapdance)
tape	(n)nastro; stricione del traguardo (in sports); (v) legare con nastro
taped	legato con nastro[Verb]
taper	(n)cerino; (v) [trans.] affusolare; [intrans.] affusolarsi
tapered	affusolato[Verb]
tapering	affusolante[Adjective]
tapers	cerini[Noun]
tapes	nastre[Noun]
tapestried	tapezzato[Verb]
tapestries	tappezzerie[Noun]
tapestry	tappezzeria[Noun]
tapeworm	tenia, verme solitario[Noun]
taping	legando con nastro[Verb]
tapioca	tapioca[Noun]
tapir	formichie\re[Noun]
tapirs	formichie\ri[Noun]
tapped	battutto[Verb]
tapper	battitore[Noun]
tappers	battitori[Noun]
tappet	(aut) punteria[Noun]
taproom	taverna, osteria[Noun]
taproot	radice a fittone[Noun]
taproots	radici a fittone[Noun]
taps	rubinetti; prese; spine[Noun]
tar	(n) catrame; (v) incatramare
tarantula	tarantula[Noun]
tarantulas	tarantule[Noun]
tardier	piu\ lento, in ritardo[Adverb]
target_language	Italian
target_language	Italian[]
tea	te\[Noun]
teacher	insegnante[Noun]
teachers	insegnanti[Noun]
teaching	insegnamento[Noun]
team	squadra, gruppo[Noun]
teammate	compagno di squadra[Noun]
teammates	compagni di squadra[Noun]
teams	squadre[Noun]
teapot	teiera[Noun]
tearoom	sala da the\[Noun]
tears	lacrime[Noun]
teaspoon	cucchiaino
technetium	tecnezio[Noun]
technical	tecnico[Adjective]
telephone	tele\fono[Noun]
telephonic	telefo\nico[Adverb]
telephony	telefonia[Noun]
template	sagoma[Noun]
tensor	tensore[Noun]
tensorial	tensoriale[Adjective]
tensors	tensori[Noun]
tent	tenda[Noun]
tentacle	tentacolo[Noun]
tentacles	tentacoli[Noun]
tentacular	tentacolare[Adjective]
tenth	decimo[Noun]
tenths	decimi[Noun]
tepee	tepee[Noun]
tepees	tepee[Noun]
tequila	tequila[Noun]
than	che[Adverb]
thank	gratzie[Noun]
thank	you[Verb]
thanks	grazie
that	quello[Adverb]
tide	marea[Noun]
tie	cravatta[Noun]
tomorrow	domani[Noun]
trade	commercio
trademark	marchio di fabbrica
tradeoff	compromesso
tradesman	commerciante
traditional	tradizionale
travel	viaggio[Noun]
trowel	frattazzo
troweled	fratazzato
troweled	fratazzato[Verb]
true	justo
true	vero
trumpet	tromba
ulcer	ulcera
ulna	ulna
ulnar	ulnare
uncle	lo zio (gli zii)[Noun]
uncommon	poco comune[Adjective]
uncompleted	incompiuto[Adjective]
uncompleted	incompleto
uncompromising	intrattbile[Adjective]
unconcern	noncuranza[Noun]
unconcerned	noncurante, indifferente[Adjective]
unconditional	senza riserva, senza condizioni[Adjective]
untrans	n
untrans	n[]
update	aggiornare
upgrade	promuovere
uphill	salita
vacancy	posto vacante - ozio - vuoto[Noun]
vacant	vuoto - libero - vacuo - distratto[Adjective]
vacantly	vacuamente - con aria assente[Adverb]
vacate	liberare - evacuare - dimettersi[Verb]
vacated	Evacuato
vacation	sgombero - dimissione - rinuncia - vacanza[Noun]
vacationer	villeggiante - vacanziere[Noun]
vacationers	villeggianti - vacanzieri (pl)[Noun]
vacationland	zona di villeggiatura[Noun]
vacations	vacanze - ferie[Noun]
vaccinal	vaccinico[Adjective]
vaccinate	vaccinare[Verb]
vaccinated	Vaccinato
vaccinating	Vaccinando
vaccination	vaccinazione[Noun]
vaccinations	vaccinazioni (pl)[Noun]
vaccinator	vaccinatore - vaccinostilo[Noun]
vaccinators	vaccinatori - vaccinostili[Noun]
vaccine	vaccino - siero[Noun]
vaccines	Vaccini
vacillate	vacillare - barcollare[Verb]
vacillation	vacillamento - barcollamento - esitazione[Noun]
vacuity	vuoto - lacuna - vacuita\ - stupidita\[Noun]
vacuolar	vacuolare[Adjective]
vacuole	vacuolo[Noun]
vacuous	vuoto - vacuo - insignificante[Adjective]
vacuousness	vuoto - lacuna - vacuita\[Noun]
vacuum	vuoto - aspirapolvere[Noun]
vacuums	vuoti[Noun]
vagabond	vagabondo - nomade - girovago[Noun]
vagabondage	vagabondaggio[Noun]
vagabondish	da vagabondo[Adverb]
vagabondism	Vacabondismo
vagabonds	Vagabondi
vagaries	capricci - stravaganze[Noun]
vagary	capriccio - stravaganza
vagina	vagina[Noun]
vaginal	vaginale[Adjective]
vaginally	vaginalmente[Adverb]
vaginas	vagine[Noun]
vagrancy	vagabondaggio - accattonaggio[Noun]
vagrant	vagabondo - ambulante - randagio - nomade [Adjective]
vague	vago - incerto - indistinto - indeterminato - impreciso[Adjective]
vaguely	vagamente - indeterminatamente[Adverb]
vagueness	vaghezza - incertezza - indeterminazione[Noun]
vaguer	piu\ vago[Adjective]
vaguest	vaghissimo[Adjective]
validation	Validato
valley	Valle
vector	vettore[Noun]
vectorial	vettoriale[Adjective]
vectors	vettori[Noun]
vegetarian	vegetariano[Adjective]
vegetarians	vegetariani[Noun]
vehicle	veicolo[Noun]
vehicles	veicoli[Noun]
venire	venire[Verb]
victory	vittoria[Noun]
victual	vitto
vide	vuoto
video	video
view	vista
viewed	visto
viewer	spettatore
viewing	vedendo?
viewpoint	punto di vista
vigil	vigile
vigilance	vigilanza
vigilant	vigilante
vigilantes	vigilanti
wacky	pazzo[Adjective]
wad	batuffolo[Noun]
waddle	sculettare[Verb]
waddled	sculetto[Verb]
wade	guadare[Verb]
wads	batuffoli[Noun]
wafer	cialda[Noun]
wafers	cialde[Noun]
waffle	cialda[Noun]
waffles	cialde[Noun]
waft	spandersi[Verb]
wag	scodinzolare[Verb]
wage	solario[Noun]
wager	scommessa[Noun]
wagerer	giocatore[Noun]
waggish	scherzoso[Adjective]
wagon	vagone[Noun]
wagons	carri[Noun]
waif	trovatello[Noun]
wail	gemere[Verb]
wain	carriaggio[Noun]
waist	vita[Noun]
waistband	cintola[Noun]
waistcoat	corpetto[Noun]
waistcoats	corpetti
wait	aspettare[Verb]
waitress	cameriera
waitresses	cameriere
waive	onda
waiver	rinuncia[Noun]
wake	veglia[Noun]
wakeful	sveglio[Adjective]
waken	svegliare[Verb]
walk	camminare[Verb]
walk	cammino(noun)
walked	(who walked?)
walkingstick	bastone[Noun]
wall	muro
wallaby	canguro[Noun]
wallaroo	canguro
wallet	portafoglio[Noun]
wallflower	violacciocca[Noun]
wallow	sguazzare[Verb]
wallpaper	tappezzeria[Noun]
walnut	noce[Noun]
walnuts	noci[Noun]
walrus	tricheco[Noun]
walruses	tricheco[Noun]
waltz	valzer[Noun]
wan	smunto
wand	bacchetta[Noun]
wander	vagare[Verb]
wanderer	pellegrino[Noun]
wanderers	pellegrini[Noun]
wane	declinare[Verb]
want	volere[Verb]
wanton	licenzioso[Adjective]
war	guerra
warble	gorgheggio[Noun]
ward	distretto[Noun]
warden	guardiano[Noun]
wardens	guardiani[Noun]
wardrobe	quardaroba[Noun]
wardrobes	quardarobe[Noun]
wardroom	guadrato[Noun]
wardrooms	guadrati[Noun]
wards	distretti[Noun]
warhead	testata
warp	italian
washable	lavabile
watch	Airhog II vs. weljer
watch	orologio[Noun]
watch	sentinella[Noun]
watch	guardare[Verb]
watch	sorvegliare[Verb]
water	acqua
watercolor	acquerello[Noun]
waterfall	cascata[Noun]
waterfront	lungomare[Noun]
watermelon	anguria[Noun]
waterproof	impermeabile[Adjective]
wave	onda
wavelength	lunghezza d'onda
wavelengths	lunghezze d'onda
weak	debole
web	ragnatela[Noun]
wed	sposata/sposato[Noun]
wedding	matrimonio/sposalizio
week	settimana
weekday	feriale[Noun]
weekday	giorno lavorativo ( n.+adj.)[Noun]
weekdays	gioni lavorativi
weekend	festiva[Noun]
weekend	fine settimana
weekly	settimanale
weep	piangere[Verb]
weight	peso[Noun]
welcome	benvenuto[Verb]
wet	bagnato
whale	balena
what	che
whatever	qualunque
whatsoever	qualsiasi cosa
wheat	frumento
wheel	ruota
wheelbarrow	carriola
when	quando
where	dove
while	mentre
white	bianco
why	perche/[Pronoun]
wick	stoppino[Noun]
wicked	malvagio[Adjective]
wickedly	con malvagita\[Adverb]
wicket	cancelletto[Noun]
wide	largo[Adjective]
widely	largamente[Adverb]
widen	allargare[Verb]
widening	allargamento[Noun]
widespread	diffuso[Adjective]
widget	gingillo[Noun]
widow	vedova[Noun]
widower	vedovo[Noun]
width	larghezza[Noun]
widthwise	in larghezza[Adverb]
wield	esercitare[Verb]
wife	moglie[Noun]
wig	parrucca[Noun]
wild	selvaggio[Adjective]
win	vincere
wind	vento
window	finestra
windshield	parabrezza
wine	vino
wish	auguri[Noun]
with	con[Preposition]
with	col, colla, coi, etc ["with the"]
without	senza[Preposition]
wizard	mago
wizard	portentoso
wizard	stregone
woman	donna[Noun]
womanish	femminile[Adjective]
women	donne[Noun]
work	lavorare
wrap	Incapsulare[Verb]
wrapping	Incapsulamento[Noun]
x	x - dieci (10 in numeri romani)[Noun]
xenophobe	xenofobo[Adjective]
xenophobia	xenofobia[Noun]
xenophobic	xenofobico[Adjective]
xi	undici (11 in numeri romani)[Noun]
xii	dodici (12 in numeri romani)[Noun]
xiii	tredici (13 in numeri romani)[Noun]
xiv	quattordici (14 in numeri romani)[Noun]
xix	diciannove (19 in numeri romani)[Noun]
xor	Or esclusivo (Xor)[Noun]
xv	quindici (15 in numeri romani)[Noun]
xvi	sedici (16 in numeri romani)[Noun]
xvii	diciassette (17 in numeri romani)[Noun]
xviii	diciotto (18 in numeri romani)[Noun]
xx	venti (20 in numeri romani)[Noun]
xylophone	xilofono[Noun]
xylophones	xilofoni[Noun]
yacht	panfilo[Noun]
yachting	fare una crocera su un panfilo[Verb]
yachts	panfili[Noun]
yachtsman	proprietario di panfili[Noun]
yachtsmen	proprietari di panfili[Noun]
yak	yak[Noun]
yaks	yak[Noun]
yap	guaire[Verb]
yapping	guaendo[Verb]
yard	iarda[Noun]
yards	iarde[Noun]
yawn	sbadiglio
yawning	sbadigliando
year	anno[Noun]
yearly	annualmente[Adverb]
yellow	giallo[Noun]
your	il tuo, la tua, i tuoi, le tue 
yours	il tuo, la tua
yourself	ti
youth	gioventu
zabaglione	zabaglione
zabaglione	zabaglione[Noun]
zanies	buffoni - comici[Noun]
zanily	buffonescamente[Adverb]
zany	buffone[Noun]
zap	eliminare - uccidere - sfrecciare[Verb]
zeal	zelo
zealot	zelota - presona zelante[Noun]
zealotry	zelo eccessivo - fanatismo[Noun]
zealous	zelante
zealously	promurosamente - fanaticamente[Adverb]
zealousness	zelo - premura - sollecitudine[Noun]
zebra	zebra
zebra	zebra[Noun]
zebras	zebre
zeitgeist	spirito del tempo
zenith	zenit
zenithal	zenitale[Adjective]
zeolite	zeolite[Noun]
zephyr	zefiro
zephyr	zaffiro[Noun]
zeppelin	Zeppelin[Noun]
zero	zero
zero	zero[Noun]
zeroed	azzerato[Adjective]
zeroes	zeri[Noun]
zeroing	azzeramento[Verb]
zeros	zeri[Noun]
zest	aroma - gusto - sapore piccante[Noun]
zestful	saporito - piccante - aromatico[Adjective]
zeta	zeta[Noun]
zigzag	zigzagare[Verb]
zinc	zinco[Noun]
zinfandel	chiaretto[Adjective]
zipper	cerniera lampo[Noun]
zircon	zircone[Noun]
zither	cetra tirolese[Noun]
zodiac	zodiaco
zodiacal	zodiacale
zone	zona
zonked	incosciente[Adjective]
zoo	zoo[Noun]
zoologic	zoologico[Adjective]
zoological	zoologico[Adjective]
zoologist	zoologo[Noun]
zoologists	zoologi[Noun]
zoology	zoologia[Noun]
zoom	zumare[Verb]
zoomorphic	zoomorfo[Adjective]
zoophyte	zoofito[Noun]
zoos	giardini zoologichi[Noun]
###########################################################################
